"DATE","CATEGORY","PUZZLE","L1","L2","L3","L4","L5","WIN"
2009-01-13,"Thing","PEACH FUZZ","C","P","G","O",NA,"No"
2009-01-14,"Event","BLOWOUT","C","M","P","O",NA,"Yes"
2009-01-15,"Thing","FOOLPROOF PLAN","B","C","M","A",NA,"No"
2009-01-16,"Thing","LOVE POEM","C","G","D","O",NA,"Yes"
2009-01-19,"Living Things","PACK OF WOLVES","F","M","D","O",NA,"No"
2009-01-20,"Phrase","ASK YOUR DOCTOR","P","D","M","A",NA,"Yes"
2009-01-21,"Thing","AERIAL FOOTAGE","C","D","P","A",NA,"No"
2009-01-22,"Thing","FACE VALUE","F","P","M","I",NA,"No"
2009-01-23,"Place","CABBAGE PATCH","M","D","C","A",NA,"Yes"
2009-01-26,"Phrase","MIXED SIGNALS","C","P","Y","A",NA,"Yes"
2009-01-27,"Thing","DUFFEL BAG","D","P","M","A",NA,"No"
2009-01-28,"Place","BALCONY","G","D","M","I",NA,"Yes"
2009-01-29,"Phrase","FIGURE IT OUT","B","F","C","O","M","Yes"
2009-01-30,"Person","NAUGHTY BOY","C","F","G","A",NA,"Yes"
2010-01-01,"Phrase","JOINED AT THE HIP","D","M","C","I",NA,"No"
2010-01-04,"Phrase","BLAZE OF GLORY","F","B","P","O",NA,"Yes"
2010-01-05,"Thing","UPBEAT MOOD","C","D","G","O",NA,"No"
2010-01-06,"Thing","OLIVE BRANCH","C","P","D","O",NA,"Yes"
2010-01-07,"Phrase","IN HOT PURSUIT","P","M","C","I","D","Yes"
2010-01-08,"Person","LOYAL VIEWER","C","D","H","I","P","No"
2010-01-11,"Thing","WEB BROWSER","D","B","P","A",NA,"Yes"
2010-01-12,"Thing","GROUP HUG","C","B","G","I",NA,"No"
2010-01-13,"Thing","CARBON COPY","C","P","M","O","H","Yes"
2010-01-14,"Phrase","THE PLOT THICKENS","H","P","C","I","K","Yes"
2010-01-15,"Thing","TOP DRAWER","G","C","F","O","H","No"
2010-01-18,"Phrase","THINK AGAIN","H","M","C","A",NA,"No"
2010-01-19,"Thing","WOOL CAP","C","M","P","A",NA,"No"
2010-01-20,"Person","FOLK HERO","C","B","H","O",NA,"No"
2010-01-21,"Thing","SHARP VISION","P","C","H","A",NA,"Yes"
2010-01-22,"Thing","GUITAR PICK","M","H","P","A",NA,"No"
2010-01-25,"Thing","COIN PURSE","H","D","M","O",NA,"No"
2010-01-26,"Things","VALUABLE OBJECTS","C","H","Y","A",NA,"No"
2010-01-27,"Thing","HOWLING WIND","B","C","D","O",NA,"No"
2010-01-28,"Phrase","I APPRECIATE THE OFFER","P","M","C","O",NA,"Yes"
2010-01-29,"Thing","PHYSICAL ACTIVITY","F","P","C","A",NA,"No"
2011-01-03,"Thing","HAZY SKY","D","P","F","O",NA,"No"
2011-01-04,"Thing","A KNOWN FACT","C","D","M","I",NA,"No"
2011-01-05,"Place","CLOTHING BOUTIQUE","P","D","H","A",NA,"No"
2011-01-06,"Thing","COVERED BRIDGE","D","M","B","A",NA,"No"
2011-01-07,"What Are You Doing?","WASHING UP","G","P","M","I",NA,"No"
2011-01-10,"Thing","ACOUSTIC GUITAR","C","H","M","O","D","No"
2011-01-11,"People","YOUTH OF TODAY","H","F","D","A","C","No"
2011-01-12,"Event","NIGHTFALL","G","H","F","A",NA,"Yes"
2011-01-13,"Fun & Games","KAYAKING","C","D","P","A",NA,"Yes"
2011-01-14,"Phrase","WORK IT OUT","G","M","A","C",NA,"No"
2011-01-17,"Thing","EXCLUSIVE CLUB","C","H","M","A",NA,"No"
2011-01-18,"Event","BIKE TOUR","C","D","M","O",NA,"No"
2011-01-19,"Thing","BIG VOCABULARY","C","P","G","O",NA,"No"
2011-01-20,"Thing","HOUSE KEY","D","C","M","O",NA,"No"
2011-01-21,"Phrase","JUMP UP AND DOWN","D","F","B","A",NA,"No"
2011-01-24,"Phrase","MAJOR OVERHAUL","M","C","D","O",NA,"Yes"
2011-01-25,"Thing","FUEL GAUGE","C","P","K","A",NA,"No"
2011-01-26,"Thing","NIFTY GADGET","D","C","M","A",NA,"Yes"
2011-01-27,"Place","PRIVATE COURTYARD","M","P","D","I","H","No"
2011-01-28,"People","THE WHOLE FAMILY","P","M","C","O",NA,"Yes"
2011-01-31,"What Are You Doing?","OPENING THE VAULT","H","G","D","I",NA,"Yes"
2012-01-02,"Phrase","WRONG WAY","C","G","D","A",NA,"No"
2012-01-03,"Food & Drink","BABY PEAS","M","D","B","A","C","Yes"
2012-01-04,"Thing","DIALOGUE","D","M","P","A",NA,"No"
2012-01-05,"Thing","FLIGHT BAG","C","M","D","A",NA,"No"
2012-01-06,"Phrase","HIGH QUALITY","C","D","H","I",NA,"No"
2012-01-09,"Phrase","A HAPPY MEDIUM","C","H","P","I",NA,"No"
2012-01-10,"Things","WEDDING VOWS","G","C","D","A",NA,"No"
2012-01-11,"Event","BLACK-TIE AFFAIR","B","F","C","A",NA,"Yes"
2012-01-12,"Phrase","JUST BROWSING","G","P","C","I",NA,"No"
2012-01-13,"Person","GOLDEN BOY","P","D","M","A","H","Yes"
2012-01-16,"Person","WORLD CHAMP","B","Y","D","A",NA,"No"
2012-01-17,"Thing","GIFT VOUCHER","D","P","M","A","H","No"
2012-01-18,"Around the House","JUNK DRAWER","D","C","M","A",NA,"No"
2012-01-19,"Phrase","TOP PRIORITY","M","B","P","A",NA,"No"
2012-01-20,"Event","PIZZA PARTY","P","C","M","I",NA,"No"
2012-01-23,"Phrase","TOUGH BUT FAIR","M","C","P","O",NA,"No"
2012-01-24,"Thing","A QUIET MOMENT","C","D","M","A","P","No"
2012-01-25,"Thing","PRECIOUS CARGO","C","P","G","A",NA,"Yes"
2012-01-26,"Phrase","KEEP PLUGGING AWAY","P","G","K","I","C","Yes"
2012-01-27,"Phrase","AVAILABLE NOW","C","M","W","A",NA,"Yes"
2012-01-30,"Phrase","SKIP AHEAD","D","M","P","A",NA,"Yes"
2012-01-31,"Things","COWBOY BOOTS","D","M","C","A",NA,"No"
2013-01-01,"Thing","AWKWARD POSE","D","C","B","A","M","No"
2013-01-02,"Things","MUFFLED VOICES","D","C","M","A",NA,"Yes"
2013-01-03,"Phrase","THROWN FOR A LOOP","F","G","C","O","M","Yes"
2013-01-04,"People","JAM-PACKED CROWD","C","H","G","A",NA,"Yes"
2013-01-07,"Phrase","MAKE A WAGER","M","V","D","A",NA,"Yes"
2013-01-08,"Phrase","JUST SAY THE WORD","J","M","K","O",NA,"No"
2013-01-09,"Thing","DOUBLE TAKE","D","B","K","O",NA,"Yes"
2013-01-10,"Thing","FOAM PILLOW","C","M","P","O",NA,"Yes"
2013-01-11,"Thing","YOGA MAT","C","M","P","U",NA,"No"
2013-01-14,"Place","PUBLIC ZOO","B","D","M","A","G","No"
2013-01-15,"Phrase","BOOST MY EGO","B","G","H","A",NA,"Yes"
2013-01-16,"Thing","HOTEL VOUCHER","C","H","P","A",NA,"No"
2013-01-17,"Phrase","LIGHT AND FLUFFY","D","M","C","I",NA,"No"
2013-01-18,"Things","BOXING GLOVES","C","H","Y","O",NA,"No"
2013-01-21,"Thing","PLAID FABRIC","H","C","P","A",NA,"No"
2013-01-22,"Phrase","WHIP UP SOMETHING","F","M","D","O",NA,"No"
2013-01-23,"Place","PROVING GROUND","B","G","C","A",NA,"No"
2013-01-24,"Phrase","HOW FUNNY","C","D","P","O",NA,"No"
2013-01-25,"Things","EIGHT OUNCES","P","V","C","O",NA,"No"
2013-01-28,"Phrase","WAIT FOR IT","H","D","M","A",NA,"No"
2013-01-29,"Place","A PACKED HOUSE","H","C","F","O",NA,"No"
2013-01-30,"Things","HAPPY FACES","C","D","F","O",NA,"Yes"
2013-01-31,"Person","SPUNKY HERO","P","D","H","A",NA,"No"
2014-01-01,"Things","HEADPHONES","D","C","P","O",NA,"Yes"
2014-01-02,"Food & Drink","CHOWDER","C","D","F","I",NA,"Yes"
2014-01-03,"Phrase","NICE JOB","C","D","M","A",NA,"No"
2014-01-06,"Things","PROBING QUESTIONS","G","C","P","I",NA,"No"
2014-01-07,"Thing","BEDROCK","C","H","D","I",NA,"Yes"
2014-01-08,"Person","COMPANY BIGWIG","C","P","H","O",NA,"No"
2014-01-09,"Thing","EXHIBITION","C","D","H","O",NA,"No"
2014-01-10,"Phrase","I'M ON THE LOOKOUT","M","H","B","I","P","No"
2014-01-13,"Phrase","QUITE A PAIR","H","G","C","A",NA,"No"
2014-01-14,"Thing","YOUR HOMEWORK","Y","C","D","O",NA,"Yes"
2014-01-15,"Thing","BEVELED FRAME","G","B","H","O",NA,"No"
2014-01-16,"Thing","HYBRID VEHICLE","C","D","H","O",NA,"Yes"
2014-01-17,"Thing","UPLIFTING SPEECH","C","D","H","A",NA,"No"
2014-01-20,"Person","JOVIAL HOST","C","M","B","A",NA,"No"
2014-01-21,"Phrase","JUST GOOGLE IT","D","P","M","I",NA,"No"
2014-01-22,"Phrase","ECONOMY SIZE","M","C","D","O",NA,"Yes"
2014-01-23,"Thing","FLUFFY WOOL","D","G","C","O",NA,"No"
2014-01-24,"Thing","PINK FEATHER BOA","H","M","P","O",NA,"No"
2014-01-27,"People","A CAPPELLA GROUP","G","M","H","O","D","No"
2014-01-28,"Things","WITTY PUNS","H","F","P","I",NA,"No"
2014-01-29,"Things","JUNE JULY AND AUGUST","C","M","B","A",NA,"No"
2014-01-30,"Thing","GUTSY CHOICE","G","C","H","O",NA,"Yes"
2014-01-31,"Person","MAJORITY OWNER","M","D","P","I",NA,"No"
2015-01-01,"Thing","ROUSING APPLAUSE","C","G","D","O",NA,"No"
2015-01-02,"Thing","WEDDING BOUQUET","P","H","G","I",NA,"Yes"
2015-01-05,"Event","EXCHANGE OF VOWS","M","D","F","O","H","No"
2015-01-06,"Phrase","RAISE YOUR VOICE","H","G","D","O",NA,"Yes"
2015-01-07,"Place","FROG POND","P","G","D","O",NA,"Yes"
2015-01-08,"Thing","BALD HEAD","D","P","H","O",NA,"Yes"
2015-01-09,"Thing","MOUND OF PAPERWORK","M","D","G","I",NA,"No"
2015-01-12,"Phrase","I FOUND YOU","H","D","P","O",NA,"No"
2015-01-13,"Phrase","WHAT A MOUTHFUL","C","M","F","O",NA,"Yes"
2015-01-14,"Place","BOYHOOD HOME","C","M","P","A",NA,"No"
2015-01-15,"Things","DAILY FLIGHTS","M","P","D","A",NA,"No"
2015-01-16,"Thing","TRANQUIL WATER","G","W","D","A","Q","Yes"
2015-01-19,"Thing","JUICER","C","H","M","A","D","No"
2015-01-20,"Food & Drink","CHEWY TAFFY","D","M","W","A",NA,"No"
2015-01-21,"Thing","COMBINED WEIGHT","P","M","C","A",NA,"No"
2015-01-22,"Thing","WIPER FLUID","C","P","D","O",NA,"Yes"
2015-01-23,"Phrase","BY THE QUART","C","M","P","O",NA,"No"
2015-01-26,"Phrase","NICE VARIETY","P","C","H","A",NA,"No"
2015-01-27,"Thing","BUBBLY SOAP","M","C","D","A",NA,"Yes"
2015-01-28,"Phrase","FILL IN THE GAPS","P","H","G","O",NA,"Yes"
2015-01-29,"Thing","A WARM GLOW","D","C","W","O",NA,"Yes"
2015-01-30,"Thing","BLUE SKY","P","C","Y","U",NA,"Yes"
2007-02-01,"Thing","VOLUME KNOB","P","C","M","A",NA,"No"
2007-02-02,"Event","FOOD FIGHT","P","M","C","A",NA,"No"
2007-02-05,"Thing","OFFBEAT HUMOR","C","P","M","A",NA,"No"
2007-02-06,"Event","BLOWING A KISS","P","G","C","A",NA,"No"
2007-02-07,"Thing","FLAGPOLE","G","P","B","I","H","Yes"
2007-02-08,"Things","PIANO KEYS","F","M","P","I","G","No"
2007-02-09,"Phrase","I GOT MY WISH","F","H","C","A",NA,"Yes"
2007-02-12,"Living Thing","SAGEBRUSH","C","H","M","A",NA,"No"
2007-02-13,"Thing","TANGY FLAVOR","C","M","P","A",NA,"Yes"
2007-02-14,"Phrase","TOUGH IT OUT","C","K","H","O","D","Yes"
2007-02-15,"People","BRAZILIANS","C","B","K","A",NA,"Yes"
2007-02-16,"Phrase","NOTIFY ME","M","G","C","O",NA,"No"
2007-02-19,"Phrase","YOU BE THE JUDGE","H","B","M","A",NA,"No"
2007-02-20,"Person","HOCKEY FAN","M","H","C","O",NA,"Yes"
2007-02-21,"Food & Drink","PAPRIKA","G","H","M","O",NA,"No"
2007-02-22,"Thing","BUSHY BEARD","C","M","P","A",NA,"No"
2007-02-23,"Things","FOREIGN WORDS","M","P","C","A",NA,"No"
2007-02-26,"Things","FOG AND MIST","D","I","M","P",NA,"Yes"
2007-02-27,"Phrase","JUMPING FOR JOY","G","D","M","I",NA,"Yes"
2007-02-28,"Place","BINGO HALL","M","H","D","A","C","No"
2008-02-01,"Food & Drink","ICING","G","C","H","A",NA,"Yes"
2008-02-04,"Thing","GROWTH CHART","P","C","M","A",NA,"No"
2008-02-05,"Things","BOBBY PINS","P","C","D","O",NA,"No"
2008-02-06,"Around the House","SQUEAKY DOOR","G","H","C","A",NA,"No"
2008-02-07,"Food & Drink","VEGGIE DIP","C","D","P","O",NA,"No"
2008-02-08,"Thing","FISH FOOD","C","P","B","A",NA,"No"
2008-02-11,"Proper Name","PAULA ABDUL","H","C","D","A",NA,"Yes"
2008-02-12,"Thing","SHAVED HEAD","D","P","F","A","M","No"
2008-02-13,"Event","OCEAN VOYAGE","C","D","M","A",NA,"No"
2008-02-14,"People","JUDGE AND JURY","P","B","M","O",NA,"No"
2008-02-15,"Phrase","WARM AND COZY","G","C","H","A",NA,"No"
2008-02-18,"Thing","PHONE JACK","M","D","H","O",NA,"No"
2008-02-19,"Show Biz","BANJO PLAYER","P","M","C","A",NA,"Yes"
2008-02-20,"Thing","BRIGHT IDEA","D","M","C","I",NA,"Yes"
2008-02-21,"Phrase","HEAR HIM OUT","B","M","D","I",NA,"No"
2008-02-22,"Phrase","QUICK ON THE DRAW","H","D","C","O","M","No"
2008-02-25,"Thing","EPIC SAGA","D","M","W","A",NA,"No"
2008-02-26,"Phrase","IT'S YOUR MOVE","C","H","M","O",NA,"Yes"
2008-02-27,"Around the House","COMFY SOFA","C","H","M","A",NA,"Yes"
2008-02-28,"Thing","KNOWING WINK","C","G","P","A",NA,"No"
2008-02-29,"Phrase","IT LOOKS IFFY","K","C","G","O",NA,"No"
2009-02-02,"Thing","QUICK GLIMPSE","P","C","H","O",NA,"No"
2009-02-03,"Event","SOPHOMORE YEAR","C","M","P","I",NA,"No"
2009-02-04,"Phrase","LAUGH IT UP","G","H","P","I",NA,"Yes"
2009-02-05,"People","GRANDKIDS","C","D","M","O",NA,"No"
2009-02-06,"Phrase","OVER AND OUT","V","D","C","O",NA,"Yes"
2009-02-09,"Person","FIFTH GRADER","H","M","C","A",NA,"Yes"
2009-02-10,"Show Biz","TV JUDGE","M","C","P","O",NA,"No"
2009-02-11,"Phrase","HEROIC EFFORT","C","P","M","O",NA,"No"
2009-02-12,"Thing","BOOKMARK","M","P","D","O",NA,"Yes"
2009-02-13,"Thing","OAK BENCH","D","C","G","I",NA,"No"
2009-02-16,"Phrase","WE THINK ALIKE","C","D","B","I",NA,"Yes"
2009-02-17,"Phrase","FULLY QUALIFIED","M","C","H","A",NA,"No"
2009-02-18,"People","VARSITY SQUAD","Y","B","C","O",NA,"No"
2009-02-19,"Things","DOUBLE COUPONS","C","D","M","A","J","No"
2009-02-20,"Event","HIGH TIDE","M","D","B","I",NA,"Yes"
2009-02-23,"Place","OPERA HOUSE","D","C","M","I","K","No"
2009-02-24,"Thing","PUBLIC OPINION","M","G","D","A",NA,"No"
2009-02-25,"Phrase","FLIP A COIN","P","D","M","A",NA,"No"
2009-02-26,"Things","PSYCHIC POWERS","C","D","P","A",NA,"Yes"
2009-02-27,"Thing","HOT WAX","C","M","P","A",NA,"No"
2010-02-01,"Thing","QUEST FOR KNOWLEDGE","M","D","C","I",NA,"No"
2010-02-02,"Thing","AN ONGOING PROCESS","C","D","G","A",NA,"Yes"
2010-02-03,"Phrase","IMAGINE THAT","C","D","M","A",NA,"Yes"
2010-02-04,"Place","WINE BAR","C","D","M","O",NA,"No"
2010-02-05,"Things","RHYMING WORDS","P","C","M","A",NA,"No"
2010-02-08,"Phrase","PAVE THE WAY","M","P","K","A",NA,"No"
2010-02-09,"Thing","QUICK PEEK","C","D","P","A",NA,"No"
2010-02-10,"Thing","FONDUE POT","D","P","M","I","C","No"
2010-02-11,"Phrase","JOKE AROUND","F","P","M","O",NA,"No"
2010-02-12,"Phrase","BEYOND A DOUBT","D","P","M","A",NA,"Yes"
2010-02-15,"Phrase","I'M PUZZLED","M","D","B","I",NA,"Yes"
2010-02-16,"Phrase","VERY HUSH-HUSH","Y","V","H","U",NA,"Yes"
2010-02-17,"Phrase","PICK UP THE PACE","G","H","C","A",NA,"No"
2010-02-18,"Thing","SQUARE KNOT","C","K","M","I","P","No"
2010-02-19,"People","HIP CROWD","C","D","H","A",NA,"No"
2010-02-22,"Phrase","TWO OF A KIND","C","H","M","A",NA,"No"
2010-02-23,"Phrase","ON THE HORIZON","H","D","P","A","C","Yes"
2010-02-24,"Event","A BIG WIN","C","F","M","I",NA,"Yes"
2010-02-25,"Things","HOME MOVIES","G","M","H","A","W","Yes"
2010-02-26,"Thing","SPRAY PAINT","P","H","B","A",NA,"Yes"
2011-02-01,"Thing","PATIO AWNING","G","Y","H","A",NA,"Yes"
2011-02-02,"Living Thing","PINK ORCHID","G","K","M","I",NA,"No"
2011-02-03,"People","JAZZ BAND","D","M","C","A",NA,"No"
2011-02-04,"Person","AVID HIKER","B","H","P","O",NA,"No"
2011-02-07,"Phrase","POUR IT ON","M","Y","D","O",NA,"Yes"
2011-02-08,"Thing","DRAWBRIDGE","D","C","H","A",NA,"No"
2011-02-09,"Person","NOISY NEIGHBOR","G","H","B","O",NA,"Yes"
2011-02-10,"Phrase","IN A JIFFY","D","C","M","I",NA,"No"
2011-02-11,"Thing","EXPERT ADVICE","F","D","H","A",NA,"Yes"
2011-02-14,"Phrase","IT MIGHT HAPPEN","D","M","H","I",NA,"Yes"
2011-02-15,"Thing","HAIR BRAID","C","H","P","A","M","Yes"
2011-02-16,"Thing","MOVING VAN","G","D","H","I",NA,"No"
2011-02-17,"People","JUNIOR VARSITY SQUAD","M","P","B","A",NA,"No"
2011-02-18,"Thing","STRICT CURFEW","M","H","C","A",NA,"No"
2011-02-21,"Event","MEDICAL BREAKTHROUGH","C","P","M","A",NA,"No"
2011-02-22,"Phrase","THE RIGHT APPROACH","H","D","Y","I",NA,"No"
2011-02-23,"Place","TOWNSHIP","H","D","M","O",NA,"Yes"
2011-02-24,"Phrase","VAST MAJORITY","J","C","D","A",NA,"Yes"
2011-02-25,"Phrase","WORTH THE RISK","H","F","C","A",NA,"No"
2011-02-28,"Thing","AWARD PLAQUE","C","P","H","A",NA,"No"
2012-02-01,"Thing","A HUGE HIT","G","M","C","A",NA,"No"
2012-02-02,"Thing","DAILY WORKOUT","W","D","B","O",NA,"Yes"
2012-02-03,"Phrase","PRIDE & JOY","H","C","D","A",NA,"Yes"
2012-02-06,"Phrase","LOW IMPACT","G","D","P","A","F","Yes"
2012-02-07,"People","THE WHOLE GANG","D","H","M","A",NA,"No"
2012-02-08,"Phrase","MAKE A WISH","H","M","D","O",NA,"Yes"
2012-02-09,"Thing","KIND OFFER","G","C","M","O",NA,"No"
2012-02-10,"Phrase","BOOKED SOLID","D","M","C","I",NA,"No"
2012-02-13,"Thing","HIGH FIVE","B","C","D","A",NA,"No"
2012-02-14,"Phrase","BE QUICK ABOUT IT","C","D","P","A",NA,"No"
2012-02-15,"Person","HOMEBUYER","D","H","P","A","F","Yes"
2012-02-16,"Thing","PLYWOOD","P","C","M","A",NA,"No"
2012-02-17,"Phrase","BOUNCE BACK","B","G","Y","O","C","Yes"
2012-02-20,"Thing","PATCHWORK QUILT","C","H","M","A",NA,"Yes"
2012-02-21,"Thing","PURE GENIUS","D","M","C","A",NA,"No"
2012-02-22,"Phrase","BACK ME UP","B","D","M","A",NA,"Yes"
2012-02-23,"Thing","HOUSEWARMING GIFT","G","D","P","O",NA,"No"
2012-02-24,"Things","VIVID COLORS","C","M","F","O",NA,"No"
2012-02-27,"Phrase","ON YOUR OWN","C","M","D","O",NA,"Yes"
2012-02-28,"People","KIDS OF ALL AGES","D","P","M","A",NA,"Yes"
2012-02-29,"Thing","HOMETOWN FAVORITE","D","C","K","I",NA,"No"
2013-02-01,"Person","YOUNG PRODIGY","M","D","C","A",NA,"No"
2013-02-04,"Thing","KEY TO THE OFFICE","C","P","M","A",NA,"No"
2013-02-05,"Phrase","MAKE A VOW","B","C","P","O",NA,"No"
2013-02-06,"What Are You Doing?","LAUGHING IT UP","G","B","M","A",NA,"No"
2013-02-07,"Phrase","THE OBJECT OF THE GAME","G","M","C","I",NA,"No"
2013-02-08,"Thing","PATCHY FOG","C","H","M","O","B","No"
2013-02-11,"Phrase","VIEW FROM ABOVE","H","B","C","A",NA,"No"
2013-02-12,"Thing","MAHOGANY FINISH","C","D","M","I",NA,"No"
2013-02-13,"Things","THIGH-HIGH BOOTS","C","M","D","A",NA,"No"
2013-02-14,"Thing","VORACIOUS APPETITE","C","H","M","A",NA,"No"
2013-02-15,"What Are You Doing?","BROWSING","C","G","Y","O",NA,"Yes"
2013-02-18,"Living Thing","SHRUBBERY","M","D","C","A",NA,"No"
2013-02-19,"Thing","PIANO BENCH","C","H","D","O",NA,"Yes"
2013-02-20,"Person","HOMEOWNER","H","C","M","I",NA,"Yes"
2013-02-21,"Thing","LIGHTWEIGHT JACKET","G","C","B","O",NA,"No"
2013-02-22,"Phrase","FOUR OF A KIND","D","M","K","O",NA,"Yes"
2013-02-25,"Thing","TRICK PLAY","C","M","D","A",NA,"Yes"
2013-02-26,"Place","FIREHOUSE","M","F","D","U",NA,"Yes"
2013-02-27,"Phrase","HANG IT UP","P","D","G","I",NA,"Yes"
2013-02-28,"Phrase","WHISKED AWAY","C","D","F","A",NA,"No"
2014-02-03,"Food & Drink","SPICY GUACAMOLE","C","P","M","I",NA,"Yes"
2014-02-04,"Thing","PREVAILING WIND","C","D","M","A",NA,"No"
2014-02-05,"Phrase","A RISK WORTH TAKING","C","D","M","O",NA,"Yes"
2014-02-06,"Phrase","WHAT A HOOT","B","H","D","A",NA,"Yes"
2014-02-07,"Thing","LOGICAL OUTCOME","A","B","C","D",NA,"No"
2014-02-10,"Thing","BACKUP PLAN","P","D","M","A","C","Yes"
2014-02-11,"Things","FAMILY VALUES","C","D","M","I",NA,"No"
2014-02-12,"Thing","ITCHY PALM","C","H","D","O",NA,"Yes"
2014-02-13,"Place","MAJOR HUB","P","C","D","A",NA,"No"
2014-02-14,"Place","AN ABBEY","P","M","C","I",NA,"No"
2014-02-17,"What Are You Doing?","WAFFLING","C","G","M","A",NA,"No"
2014-02-18,"Thing","CHOREOGRAPHY","D","B","M","A",NA,"No"
2014-02-19,"Thing","LOCKER KEY","B","D","P","A",NA,"No"
2014-02-20,"Phrase","GOBBLED UP","P","M","W","A",NA,"No"
2014-02-21,"Thing","JUNCTION","H","B","C","O",NA,"Yes"
2014-02-24,"Thing","BODY OF WORK","C","D","P","O",NA,"Yes"
2014-02-25,"Phrase","I'VE GOT HIGH HOPES","C","D","M","O",NA,"No"
2014-02-26,"Things","VISUAL EFFECTS","H","D","M","A",NA,"No"
2014-02-27,"Thing","COMPANY POLICY","B","F","P","O","M","Yes"
2014-02-28,"Phrase","HOMEWARD BOUND","D","P","F","I","M","No"
2015-02-02,"Thing","VINYL BOOTH","C","B","M","O",NA,"No"
2015-02-03,"Thing","BACKYARD GAZEBO","C","D","H","A",NA,"No"
